Country,Total_Transactions,Returned_Transactions,Return_Probability,Return_Rate_Percentage
USA,379,112,0.2955145118733509,29.551451187335093
Czech Republic,28,4,0.14285714285714285,14.285714285714285
Saudi Arabia,10,1,0.1,10.0
Malta,149,14,0.09395973154362416,9.395973154362416
Japan,371,34,0.09164420485175202,9.164420485175203
Italy,661,37,0.05597579425113464,5.597579425113464
Australia,1704,73,0.04284037558685446,4.284037558685446
Germany,10675,435,0.040749414519906324,4.074941451990632
EIRE,8048,241,0.029945328031809146,2.9945328031809146
Sweden,417,9,0.02158273381294964,2.158273381294964
Denmark,416,8,0.019230769230769232,1.9230769230769231
Spain,2430,44,0.01810699588477366,1.8106995884773662
European Community,58,1,0.017241379310344827,1.7241379310344827
United Kingdom,485095,7324,0.015098073573217618,1.5098073573217619
Channel Islands,629,9,0.014308426073131956,1.4308426073131957
Switzerland,2336,33,0.014126712328767123,1.4126712328767121
France,10526,133,0.01263537906137184,1.263537906137184
Belgium,2539,32,0.01260338716029933,1.260338716029933
Norway,938,11,0.011727078891257996,1.1727078891257996
Cyprus,582,6,0.010309278350515464,1.0309278350515463
Finland,692,6,0.008670520231213872,0.8670520231213872
Poland,174,1,0.005747126436781609,0.5747126436781609
Portugal,1848,10,0.005411255411255411,0.5411255411255411
Austria,887,3,0.0033821871476888386,0.3382187147688839
Netherlands,2330,4,0.0017167381974248926,0.17167381974248927
Singapore,215,0,0.0,0.0
United Arab Emirates,67,0,0.0,0.0
Bahrain,17,0,0.0,0.0
Lithuania,34,0,0.0,0.0
RSA,57,0,0.0,0.0
Brazil,31,0,0.0,0.0
Lebanon,45,0,0.0,0.0
Canada,150,0,0.0,0.0
Israel,358,0,0.0,0.0
Iceland,787,0,0.0,0.0
Hong Kong,153,0,0.0,0.0
Greece,67,0,0.0,0.0
Unspecified,447,0,0.0,0.0
